,Headline,Link
45,['Why Canada represented U.S. authorities’ ‘best chance’ to capture Huawei’s Meng Wanzhou'],['https://news.google.com/articles/CAIiEHt8gAxrEy1LEw_Qm5FUl3oqFwgEKg4IACoGCAow6bV4MPfJDDDB1MUF']
46,['Ottawa to proceed with Meng extradition request Trudeau says as China accuses detained Canadians of spying'],['https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vd29ybGQvYXJ0aWNsZS1jaGluYS1hY2N1c2VzLWRldGFpbmVkLWNhbmFkaWFucy1vZi1zcHlpbmctZGF5cy1hZnRlci1odWF3ZWkv0gEA']
47,['Huawei to sue US for banning federal agencies from using its products'],['https://news.google.com/articles/CAIiEPjITLc1SmyDE4Djihk6ydoqFggEKg4IACoGCAowm6R6MMKqCTCuqhU']
48,['Chinese state media: Detained Canadians stole state secrets'],['https://news.google.com/articles/CAIiEBqv2Qri4CZmS7LU1GGclR0qGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY']
49,['Huawei CFO Meng Wanzhou suing Canada over December arrest'],['https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vd29ybGQvdmlkZW8taHVhd2VpLWNmby1tZW5nLXdhbnpob3Utc3VpbmctY2FuYWRhLW92ZXItZGVjZW1iZXItYXJyZXN0L9IBAA']
50,['SNC-Lavalin sues former CEO for millions over MUHC bribery scandal'],['https://news.google.com/articles/CAIiENgeVOK-qdZs310UX4To9i4qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU']
51,['The SNC-Lavalin scandal is proof our system of government is working. Seriously.'],['https://news.google.com/articles/CAIiEM-HC7KtO97Ureinnaf6ZHoqGQgEKhAIACoHCAowkrSGCzDknoQDMJTclgY']
52,['SNC-Lavalin sues former CEO over hospital bribery scandal'],['https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vYnVzaW5lc3MvYXJ0aWNsZS1zbmMtbGF2YWxpbi1zdWVzLWZvcm1lci1jZW8tb3Zlci1ob3NwaXRhbC1icmliZXJ5LXNjYW5kYWwv0gG_AWh0dHBzOi8vd3d3LXRoZWdsb2JlYW5kbWFpbC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlZ2xvYmVhbmRtYWlsLmNvbS9hbXAvYnVzaW5lc3MvYXJ0aWNsZS1zbmMtbGF2YWxpbi1zdWVzLWZvcm1lci1jZW8tb3Zlci1ob3NwaXRhbC1icmliZXJ5LXNjYW5kYWwvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
53,['SNC sues former CEO Duhaime for millions over hospital bribery scandal'],['https://news.google.com/articles/CBMia2h0dHA6Ly93d3cuYm5uYmxvb21iZXJnLmNhL3NuYy1sYXZhbGluLXN1ZXMtZm9ybWVyLWNlby1mb3ItbWlsbGlvbnMtb3Zlci1ob3NwaXRhbC1icmliZXJ5LXNjYW5kYWwtMS4xMjIzOTkz0gEA']
54,['SNC-Lavalin sues former CEO for millions over hospital bribery scandal'],['https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tb250cmVhbC9zbmMtbGF2YWxpbi1waWVycmUtZHVoYWltZS0xLjUwNDM2NjPSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDM2NjM_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
